49,mdgfmgags 24,6,,1,5,,1,4,,,4,,,4,,,4,6,,10,,1,9,,,9,,2,7,,,7,,,7,,,7,6,5,7,0
50,File ljr,41,,41,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,100,4,96,,,96,,,96,100,45,96,0
51,Atlas Chooty 10/=,67,,67,0,73,26,47,,21,26,,5,21,,6,15,,11,4,,4,0,,,0,,,0,,,0,,,0,,,0,73,140,0,0
52,Correction,6,,,6,,3,3,,,3,,,3,,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,6,0,0
53,Mango my 10/=,200,,,200,,,200,,,200,,,200,,,200,,20,180,,152,28,,,28,150,174,4,,4,0,,,0,,,0,150,350,0,0
54,youth pen 20/=,,,,0,,,0,,,0,,,0,,,0,50,5,45,,17,28,,,28,30,31,27,,27,0,,,0,,,0,80,80,0,0
55,Stick Note pad,,,,0,5,,5,,2,3,,1,2,,,2,,1,1,,1,0,,,0,,,0,,,0,,,0,,,0,5,5,0,0
56,Atlas Chooty 10/=,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0
57,Atlas Cool pen 20/=,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,60,2,58,120,156,22,,,22,,,22,180,158,22,0
58,Atlas Nano 10/=,50,,50,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,50,0,0
59,Butter Jel 25/=,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,30,7,23,160,54,129,,,129,,,129,,,0,
60,Eraser 10/=,32,,32,0,,,0,,,0,,,0,,,0,50,12,38,,13,25,,,25,,25,0,140,15,125,,,125,,,125,,,32,
61,Atlas pencil 20/=,25,,8,17,12,6,23,,3,20,,,20,,8,12,72,18,66,,26,40,,,40,,40,0,60,17,43,,,43,,,43,,,25,
62,"os. wvs?,a",18,,2,16,,2,14,,2,12,,,12,,,12,,1,11,,5,6,,,6,,,6,,1,5,,,5,,,5,,,18,
63,A4 White,404,,31,373,,313,60,,,60,,,60,,,60,1000,474,586,,177,409,,,409,,159,250,1500,322,1428,,,1428,,,1428,,,404,
64,Ten pen,57,,57,0,,,0,,,0,,,0,,,0,146,95,51,,13,38,,,38,,17,21,100,120,1,,,1,,,1,,,57,
65,fileClip,,,,0,40,,40,,,40,,,40,,,40,,4,36,,,36,,,36,,,36,,6,30,,,30,,,30,,,0,
,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
